CD;Año;Semana;Tienda;Apertura;CD;Cierre;Estado;Estatus;MismasTiendas;Region;Zona;Ventas Actuales;Ventas Año Anterior;Variacion Venta;% Margen;% Margen Año Anterior;Costo de Ventas;Piezas de Venta;Piezas Venta Año Anterior;Utilidad Tienda;Inventario pesos;Inventario Año Anterior pesos;Inventario pzas;Inventario Año Anterior pzas;Inventario CD pesos;Inventario CD Año Anterior pesos;Inventario CD pzas;Inventario CD Año Anterior pzas;Inventario Tienda IT pesos;Inventario Tienda IT Año Anterior pesos;Inventario Tienda IT pzas;Inventario Tienda IT Año Anterior pzas;Inventario On Hand pesos;Inventario OH Año Anterior pesos;Inventario On Hand Pzas;Inventario OH Año Anterior pzas
7021;2024;Sem-20;4043 - Las Fuentes (BCN);20081017;7021;20400101;BCN;Activo;Mismas Tiendas;R01 Tijuana Este;D01 BC NORTE;$20.802;$32.374;($11.573);51,34%;50,32%;$8.665;715;1.054;$ 10.680,52;$358.311;$335.002;25.511;23.553;;;;;$0;$0;;;$358.311;$335.002;25.511;23.553
7021;2024;Sem-20;4047 - Ciudad Natura (BCN);20231207;7021;20400101;BCN;Activo;NA;R01 Tijuana Este;D01 BC NORTE;$29.700;;$29.700;48,53%;-7,00%;$13.206;969;;$ 14.414,40;$254.692;;17.894;;;;;;$3.696;;254;;$250.996;;17.640;
7021;2024;Sem-20;4244 - Plaza Cantabria (BCS);20240411;7021;20400101;BCS;Activo;NA;R25 Los Cabos;D02 BC SUR / PACIFICO;$9.702;;$9.702;51,54%;-7,00%;$4.022;338;;$ 5.000,25;$93.926;;6.078;;;;;;$11.791;;848;;$82.135;;5.230;
7021;2024;Sem-20;5001 - Revolucion Tijuana (BCN);19990204;7021;20400101;BCN;Activo;Mismas Tiendas;R02 Tijuana Centro;D01 BC NORTE;$13.081;$19.483;($6.402);49,32%;52,69%;$5.713;394;626;$ 6.452,05;$240.782;$259.601;17.503;18.468;;;;;$0;$2.456;;166;$240.782;$257.145;17.503;18.302
7021;2024;Sem-20;5002 - Cinco Y Diez Oeste (BCN);19990616;7021;20400101;BCN;Activo;Mismas Tiendas;R69 Tijuana Oriente;D01 BC NORTE;$17.448;$28.189;($10.741);50,64%;49,62%;$7.392;495;834;$ 8.834,96;$235.261;$328.417;14.980;22.861;;;;;$0;$9.275;;634;$235.261;$319.141;14.980;22.227
7021;2024;Sem-20;5003 - Las Brisas Tijuana (BCN);19991208;7021;20400101;BCN;Activo;Mismas Tiendas;R69 Tijuana Oriente;D01 BC NORTE;$21.343;$36.206;($14.863);52,81%;50,42%;$8.577;712;1.102;$ 11.272,44;$228.048;$282.518;16.494;20.049;;;;;$0;$3.910;;252;$228.048;$278.608;16.494;19.797
7021;2024;Sem-20;5007 - Rosarito Centro (BCN);20001121;7021;20400101;BCN;Activo;Mismas Tiendas;R03 Tijuana Costa;D01 BC NORTE;$21.735;$22.532;($797);49,77%;51,16%;$9.396;733;690;$ 10.817,07;$246.411;$264.044;17.368;18.857;;;;;$0;$0;;;$246.411;$264.044;17.368;18.857
7021;2024;Sem-20;5008 - Universidad (BCN);20001208;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$24.091;$37.875;($13.784);52,89%;52,20%;$9.662;729;1.102;$ 12.742,67;$270.213;$297.520;18.904;21.752;;;;;$0;$0;;;$270.213;$297.520;18.904;21.752
7021;2024;Sem-20;5009 - Florido (BCN);20230525;7021;20400101;BCN;Activo;Mismas Tiendas;R01 Tijuana Este;D01 BC NORTE;$21.682;;$21.682;51,22%;-7,00%;$9.058;740;;$ 11.106,36;$247.559;($4.701);17.359;-370;;;;;$0;$0;;;$247.559;($4.701);17.359;-370
7021;2024;Sem-20;5010 - Valle Dorado (BCN);20010113;7021;20400101;BCN;Activo;Mismas Tiendas;R03 Tijuana Costa;D01 BC NORTE;$25.615;$23.410;$2.205;49,71%;50,60%;$11.089;809;663;$ 12.733,02;$275.342;$314.916;19.186;23.444;;;;;$0;$0;;;$275.342;$314.916;19.186;23.444
7021;2024;Sem-20;5011 - Matamoros Tijuana (BCN);20001219;7021;20400101;BCN;Activo;Mismas Tiendas;R01 Tijuana Este;D01 BC NORTE;$21.768;$31.965;($10.198);49,85%;52,04%;$9.392;737;955;$ 10.852,05;$283.068;$274.541;19.681;19.579;;;;;$16.402;$647;1.105;30;$266.666;$273.894;18.576;19.549
7021;2024;Sem-20;5012 - Villanova (BCN);20001220;7021;20400101;BCN;Activo;Mismas Tiendas;R04 Mexicali Centro;D01 BC NORTE;$10.642;$13.293;($2.651);50,53%;49,25%;$4.519;335;359;$ 5.377,80;$293.007;$298.878;22.273;24.305;;;;;$0;$2.069;;166;$293.007;$296.809;22.273;24.139
7021;2024;Sem-20;5019 - Cd. Industrial (BCN);20010905;7021;20400101;BCN;Activo;Mismas Tiendas;R46 Tijuana Otay;D01 BC NORTE;$23.174;$29.962;($6.788);52,45%;51,22%;$9.397;697;948;$ 12.155,07;$288.820;$334.616;20.200;23.113;;;;;$10.185;$1.294;724;60;$278.634;$333.321;19.476;23.053
7021;2024;Sem-20;5020 - Nuevo Mexicali (BCN);20020614;7021;20400101;BCN;Activo;Mismas Tiendas;R54 Mexicali/San Luis;D01 BC NORTE;$11.699;$17.921;($6.221);49,87%;47,45%;$5.046;362;528;$ 5.833,92;$308.933;$251.336;21.805;18.898;;;;;$3.245;$3.654;168;280;$305.688;$247.682;21.637;18.618
7021;2024;Sem-20;5021 - Fundadores (BCN);20011205;7021;20400101;BCN;Activo;Mismas Tiendas;R02 Tijuana Centro;D01 BC NORTE;$15.110;$17.514;($2.404);50,68%;51,10%;$6.395;554;495;$ 7.657,72;$275.100;$253.431;19.467;17.857;;;;;$0;$0;;;$275.100;$253.431;19.467;17.857
7021;2024;Sem-20;5022 - Plaza Limon (BCN);20011204;7021;20400101;BCN;Activo;Mismas Tiendas;R69 Tijuana Oriente;D01 BC NORTE;$22.904;$23.991;($1.086);50,53%;50,78%;$9.727;690;790;$ 11.574,04;$273.265;$269.895;18.094;19.176;;;;;$12.432;$1.166;816;118;$260.834;$268.729;17.278;19.058
